efta,justice_gov_url,dataset,original_size,scan_size,diff_bytes,diff_pct,content_type,ocr_text
EFTA01292472,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01292472.pdf,10,3802933,3146181,-656752,-17.27,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01292472&efta_number=EFTA01292472
EFTA01025816,https://www.justice.gov/epstein/files/DataSet%209/EFTA01025816.pdf,9,1383862,727240,-656622,-47.45,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01025816&efta_number=EFTA01025816
EFTA01656415,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01656415.pdf,10,787526,148450,-639076,-81.15,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01656415&efta_number=EFTA01656415
EFTA00077895,https://www.justice.gov/epstein/files/DataSet%209/EFTA00077895.pdf,9,463686,1101046,637360,137.46,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00077895&efta_number=EFTA00077895
EFTA00181297,https://www.justice.gov/epstein/files/DataSet%209/EFTA00181297.pdf,9,3937986,3325237,-612749,-15.56,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00181297&efta_number=EFTA00181297
EFTA00227225,https://www.justice.gov/epstein/files/DataSet%209/EFTA00227225.pdf,9,9945395,9335351,-610044,-6.13,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00227225&efta_number=EFTA00227225
EFTA01612671,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01612671.pdf,10,812023,221158,-590865,-72.76,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01612671&efta_number=EFTA01612671
EFTA00062293,https://www.justice.gov/epstein/files/DataSet%209/EFTA00062293.pdf,9,5752197,6312826,560629,9.75,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00062293&efta_number=EFTA00062293
EFTA00706371,https://www.justice.gov/epstein/files/DataSet%209/EFTA00706371.pdf,9,2659230,3211432,552202,20.77,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00706371&efta_number=EFTA00706371
EFTA01308578,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01308578.pdf,10,11448965,10901767,-547198,-4.78,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01308578&efta_number=EFTA01308578
EFTA01195675,https://www.justice.gov/epstein/files/DataSet%209/EFTA01195675.pdf,9,1021611,485614,-535997,-52.47,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01195675&efta_number=EFTA01195675
EFTA00607459,https://www.justice.gov/epstein/files/DataSet%209/EFTA00607459.pdf,9,5966522,5430860,-535662,-8.98,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00607459&efta_number=EFTA00607459
EFTA01656566,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01656566.pdf,10,661447,134960,-526487,-79.60,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01656566&efta_number=EFTA01656566
EFTA01024729,https://www.justice.gov/epstein/files/DataSet%209/EFTA01024729.pdf,9,1967574,1450131,-517443,-26.30,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01024729&efta_number=EFTA01024729
EFTA01304712,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01304712.pdf,10,13122702,12607303,-515399,-3.93,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01304712&efta_number=EFTA01304712
EFTA01656452,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01656452.pdf,10,628948,121361,-507587,-80.70,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01656452&efta_number=EFTA01656452
EFTA00085291,https://www.justice.gov/epstein/files/DataSet%209/EFTA00085291.pdf,9,38135907,37631155,-504752,-1.32,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00085291&efta_number=EFTA00085291
EFTA02415068,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02415068.pdf,11,2154125,1650995,-503130,-23.36,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA02415068&efta_number=EFTA02415068
EFTA02702724,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02702724.pdf,11,505931,4630,-501301,-99.08,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA02702724&efta_number=EFTA02702724
EFTA02729170,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02729170.pdf,11,6021420,5520390,-501030,-8.32,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA02729170&efta_number=EFTA02729170
EFTA01025912,https://www.justice.gov/epstein/files/DataSet%209/EFTA01025912.pdf,9,1193032,693499,-499533,-41.87,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01025912&efta_number=EFTA01025912
EFTA01024839,https://www.justice.gov/epstein/files/DataSet%209/EFTA01024839.pdf,9,2045834,1554030,-491804,-24.04,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01024839&efta_number=EFTA01024839
EFTA01624652,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01624652.pdf,10,1125284,634406,-490878,-43.62,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01624652&efta_number=EFTA01624652
EFTA00059671,https://www.justice.gov/epstein/files/DataSet%209/EFTA00059671.pdf,9,5047675,5535832,488157,9.67,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00059671&efta_number=EFTA00059671
EFTA01808205,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01808205.pdf,10,491651,16404,-475247,-96.66,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01808205&efta_number=EFTA01808205
EFTA00261495,https://www.justice.gov/epstein/files/DataSet%209/EFTA00261495.pdf,9,1302163,847621,-454542,-34.91,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00261495&efta_number=EFTA00261495
EFTA01645670,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01645670.pdf,10,27170387,26721800,-448587,-1.65,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01645670&efta_number=EFTA01645670
EFTA01845940,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01845940.pdf,10,456197,17443,-438754,-96.18,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01845940&efta_number=EFTA01845940
EFTA00175214,https://www.justice.gov/epstein/files/DataSet%209/EFTA00175214.pdf,9,36279381,35850767,-428614,-1.18,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00175214&efta_number=EFTA00175214
EFTA00040611,https://www.justice.gov/epstein/files/DataSet%209/EFTA00040611.pdf,9,2671219,2243770,-427449,-16.00,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00040611&efta_number=EFTA00040611
EFTA02729255,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02729255.pdf,11,4319008,3894498,-424510,-9.83,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA02729255&efta_number=EFTA02729255
EFTA00990344,https://www.justice.gov/epstein/files/DataSet%209/EFTA00990344.pdf,9,2118259,2541825,423566,20.00,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00990344&efta_number=EFTA00990344
EFTA01308711,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01308711.pdf,10,5838048,5429582,-408466,-7.00,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01308711&efta_number=EFTA01308711
EFTA00062970,https://www.justice.gov/epstein/files/DataSet%209/EFTA00062970.pdf,9,4275494,4682203,406709,9.51,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00062970&efta_number=EFTA00062970
EFTA00062510,https://www.justice.gov/epstein/files/DataSet%209/EFTA00062510.pdf,9,4293327,4699439,406112,9.46,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00062510&efta_number=EFTA00062510
EFTA01652971,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01652971.pdf,10,3791703,3389738,-401965,-10.60,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01652971&efta_number=EFTA01652971
EFTA02716891,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02716891.pdf,11,558933,159736,-399197,-71.42,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA02716891&efta_number=EFTA02716891
EFTA00058522,https://www.justice.gov/epstein/files/DataSet%209/EFTA00058522.pdf,9,3968374,4367517,399143,10.06,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00058522&efta_number=EFTA00058522
EFTA01025210,https://www.justice.gov/epstein/files/DataSet%209/EFTA01025210.pdf,9,1742775,1347964,-394811,-22.65,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01025210&efta_number=EFTA01025210
EFTA01631770,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01631770.pdf,10,22792585,22400954,-391631,-1.72,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01631770&efta_number=EFTA01631770
EFTA00479642,https://www.justice.gov/epstein/files/DataSet%209/EFTA00479642.pdf,9,8926977,8542300,-384677,-4.31,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00479642&efta_number=EFTA00479642
EFTA01326181,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01326181.pdf,10,1154656,770803,-383853,-33.24,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01326181&efta_number=EFTA01326181
EFTA01656517,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01656517.pdf,10,476544,94531,-382013,-80.16,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01656517&efta_number=EFTA01656517
EFTA01611999,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01611999.pdf,10,1233429,862534,-370895,-30.07,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01611999&efta_number=EFTA01611999
EFTA01808440,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01808440.pdf,10,384419,13762,-370657,-96.42,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01808440&efta_number=EFTA01808440
EFTA01309198,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01309198.pdf,10,927924,559307,-368617,-39.72,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01309198&efta_number=EFTA01309198
EFTA01099834,https://www.justice.gov/epstein/files/DataSet%209/EFTA01099834.pdf,9,8195661,7828600,-367061,-4.48,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01099834&efta_number=EFTA01099834
EFTA01807945,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01807945.pdf,10,381838,16404,-365434,-95.70,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01807945&efta_number=EFTA01807945
EFTA00227071,https://www.justice.gov/epstein/files/DataSet%209/EFTA00227071.pdf,9,9188804,8830260,-358544,-3.90,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00227071&efta_number=EFTA00227071
EFTA01656556,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01656556.pdf,10,448139,94500,-353639,-78.91,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01656556&efta_number=EFTA01656556
EFTA01656437,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01656437.pdf,10,442448,94487,-347961,-78.64,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01656437&efta_number=EFTA01656437
EFTA01599454,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01599454.pdf,10,1509351,1162563,-346788,-22.98,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01599454&efta_number=EFTA01599454
EFTA01182998,https://www.justice.gov/epstein/files/DataSet%209/EFTA01182998.pdf,9,4101584,3755398,-346186,-8.44,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01182998&efta_number=EFTA01182998
