efta,dataset,url,verify_status,verify_content_type,verify_content_length,verdict,original_cl,original_lm
EFTA01172385,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01172385.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01236125,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01236125.pdf,404,text/html,20,REMOVED,462,
EFTA01201129,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01201129.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01134152,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01134152.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01205380,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01205380.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01196323,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01196323.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01153861,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01153861.pdf,200,application/pdf,286957,LIVE,464,
EFTA01170443,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01170443.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00519661,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00519661.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01136890,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01136890.pdf,404,text/html,20,REMOVED,462,
EFTA01166434,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01166434.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01134287,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01134287.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01237285,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01237285.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01215919,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01215919.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01170861,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01170861.pdf,404,text/html,20,REMOVED,464,
EFTA01156448,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01156448.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01181475,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01181475.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00279529,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279529.pdf,200,application/pdf,2433,LIVE,464,
EFTA01159142,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01159142.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
