document_id,dataset,pages,verification_url,url_type,notes
DOJ-OGR-00000360,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000360.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000361,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000361.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000363,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000363.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000364,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000364.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000365,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000365.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000366,99,18,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000366.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000384,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000384.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000385,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000385.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000386,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000386.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000387,99,18,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000387.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000405,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000405.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000406,99,24,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000406.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000430,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000430.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000431,99,9,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000431.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000440,99,3,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000440.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000443,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000443.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000445,99,9,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000445.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000454,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000454.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000456,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000456.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000458,99,8,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000458.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000466,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000466.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000467,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000467.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000468,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000468.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000469,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000469.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000470,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000470.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000471,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000471.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000472,99,33,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000472.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000505,99,4,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000505.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000509,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000509.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000510,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000510.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000511,99,74,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000511.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000585,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000585.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000586,99,9,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000586.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000595,99,9,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000595.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000604,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000604.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000605,99,6,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000605.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000611,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000611.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000612,99,10,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000612.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000622,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000622.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000623,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000623.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000625,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000625.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000626,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000626.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000627,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000627.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000628,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000628.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000630,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000630.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000631,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000631.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000632,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000632.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000633,99,4,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000633.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000637,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000637.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000639,99,86,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000639.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000725,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000725.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000726,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000726.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000727,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000727.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000729,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000729.jpg,archive_org_page_image,DOJ First Production page image
